UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO
010601,Amazonas,RODRIGUEZ DE MENDOZA,SAN NICOLAS
010610,Amazonas,RODRIGUEZ DE MENDOZA,SANTA ROSA
010611,Amazonas,RODRIGUEZ DE MENDOZA,TOTORA
010612,Amazonas,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
010701,Amazonas,UTCUBAMBA,BAGUA GRANDE
010702,Amazonas,UTCUBAMBA,CAJARURO
010703,Amazonas,UTCUBAMBA,CUMBA
010704,Amazonas,UTCUBAMBA,EL MILAGRO
010705,Amazonas,UTCUBAMBA,JAMALCA
010706,Amazonas,UTCUBAMBA,LONYA GRANDE
010707,Amazonas,UTCUBAMBA,YAMON
020201,Ancash,AIJA,AIJA
020202,Ancash,AIJA,CORIS
020203,Ancash,AIJA,HUACLLAN
020204,Ancash,AIJA,LA MERCED
020205,Ancash,AIJA,SUCCHA
020302,Ancash,ANTONIO RAYMONDI,ACZO
020303,Ancash,ANTONIO RAYMONDI,CHACCHO
020304,Ancash,ANTONIO RAYMONDI,CHINGAS
020301,Ancash,ANTONIO RAYMONDI,LLAMELLIN
020305,Ancash,ANTONIO RAYMONDI,MIRGAS
020306,Ancash,ANTONIO RAYMONDI,SAN JUAN DE RONTOY
020402,Ancash,ASUNCION,ACOCHACA
020401,Ancash,ASUNCION,CHACAS
020502,Ancash,BOLOGNESI,ABELARDO PARDO LEZAMETA
020503,Ancash,BOLOGNESI,ANTONIO RAYMONDI
020504,Ancash,BOLOGNESI,AQUIA
020505,Ancash,BOLOGNESI,CAJACAY
020506,Ancash,BOLOGNESI,CANIS
020501,Ancash,BOLOGNESI,CHIQUIAN
020507,Ancash,BOLOGNESI,COLQUIOC
020508,Ancash,BOLOGNESI,HUALLANCA
020509,Ancash,BOLOGNESI,HUASTA
020510,Ancash,BOLOGNESI,HUAYLLACAYAN
020511,Ancash,BOLOGNESI,LA PRIMAVERA
020512,Ancash,BOLOGNESI,MANGAS
020513,Ancash,BOLOGNESI,PACLLON
020514,Ancash,BOLOGNESI,SAN MIGUEL DE CORPANQUI
020515,Ancash,BOLOGNESI,TICLLOS
020602,Ancash,CARHUAZ,ACOPAMPA
020603,Ancash,CARHUAZ,AMASHCA
020604,Ancash,CARHUAZ,ANTA
020605,Ancash,CARHUAZ,ATAQUERO
020601,Ancash,CARHUAZ,CARHUAZ
020606,Ancash,CARHUAZ,MARCARA
020607,Ancash,CARHUAZ,PARIAHUANCA
020608,Ancash,CARHUAZ,SAN MIGUEL DE ACO
020609,Ancash,CARHUAZ,SHILLA
020610,Ancash,CARHUAZ,TINCO
020611,Ancash,CARHUAZ,YUNGAR
020701,Ancash,CARLOS FERMIN FITZCARRALD,SAN LUIS
020702,Ancash,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
020703,Ancash,CARLOS FERMIN FITZCARRALD,YAUYA
020802,Ancash,CASMA,BUENA VISTA ALTA
020801,Ancash,CASMA,CASMA
020803,Ancash,CASMA,COMANDANTE NOEL
020804,Ancash,CASMA,YAUTAN
020902,Ancash,CORONGO,ACO
020903,Ancash,CORONGO,BAMBAS
020901,Ancash,CORONGO,CORONGO
020904,Ancash,CORONGO,CUSCA
020905,Ancash,CORONGO,LA PAMPA
020906,Ancash,CORONGO,YANAC
020907,Ancash,CORONGO,YUPAN
020102,Ancash,HUARAZ,COCHABAMBA
020103,Ancash,HUARAZ,COLCABAMBA
020104,Ancash,HUARAZ,HUANCHAY
020101,Ancash,HUARAZ,HUARAZ
020105,Ancash,HUARAZ,INDEPENDENCIA
020106,Ancash,HUARAZ,JANGAS
020107,Ancash,HUARAZ,LA LIBERTAD
020108,Ancash,HUARAZ,OLLEROS
020109,Ancash,HUARAZ,PAMPAS GRANDE
020110,Ancash,HUARAZ,PARIACOTO
020111,Ancash,HUARAZ,PIRA
020112,Ancash,HUARAZ,TARICA
021002,Ancash,HUARI,ANRA
021003,Ancash,HUARI,CAJAY
021004,Ancash,HUARI,CHAVIN DE HUANTAR
021005,Ancash,HUARI,HUACACHI
021006,Ancash,HUARI,HUACCHIS
021007,Ancash,HUARI,HUACHIS
021008,Ancash,HUARI,HUANTAR
021001,Ancash,HUARI,HUARI
021009,Ancash,HUARI,MASIN
021010,Ancash,HUARI,PAUCAS
021011,Ancash,HUARI,PONTO
021012,Ancash,HUARI,RAHUAPAMPA
021013,Ancash,HUARI,RAPAYAN
021014,Ancash,HUARI,SAN MARCOS
021015,Ancash,HUARI,SAN PEDRO DE CHANA
021016,Ancash,HUARI,UCO
021102,Ancash,HUARMEY,COCHAPETI
021103,Ancash,HUARMEY,CULEBRAS
021101,Ancash,HUARMEY,HUARMEY
021104,Ancash,HUARMEY,HUAYAN
021105,Ancash,HUARMEY,MALVAS
021201,Ancash,HUAYLAS,CARAZ
021202,Ancash,HUAYLAS,HUALLANCA
021203,Ancash,HUAYLAS,HUATA
021204,Ancash,HUAYLAS,HUAYLAS
021205,Ancash,HUAYLAS,MATO
021206,Ancash,HUAYLAS,PAMPAROMAS
021207,Ancash,HUAYLAS,PUEBLO LIBRE
021208,Ancash,HUAYLAS,SANTA CRUZ
021209,Ancash,HUAYLAS,SANTO TORIBIO
021210,Ancash,HUAYLAS,YURACMARCA
021302,Ancash,MARISCAL LUZURIAGA,CASCA
021303,Ancash,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON
021304,Ancash,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO
021305,Ancash,MARISCAL LUZURIAGA,LLAMA
021306,Ancash,MARISCAL LUZURIAGA,LLUMPA
021307,Ancash,MARISCAL LUZURIAGA,LUCMA
021308,Ancash,MARISCAL LUZURIAGA,MUSGA
021301,Ancash,MARISCAL LUZURIAGA,PISCOBAMBA
021402,Ancash,OCROS,ACAS
021403,Ancash,OCROS,CAJAMARQUILLA
021404,Ancash,OCROS,CARHUAPAMPA
021405,Ancash,OCROS,COCHAS
021406,Ancash,OCROS,CONGAS
021407,Ancash,OCROS,LLIPA
021401,Ancash,OCROS,OCROS
021408,Ancash,OCROS,SAN CRISTOBAL DE RAJAN
021409,Ancash,OCROS,SAN PEDRO
021410,Ancash,OCROS,SANTIAGO DE CHILCAS
021502,Ancash,PALLASCA,BOLOGNESI
021501,Ancash,PALLASCA,CABANA
021503,Ancash,PALLASCA,CONCHUCOS
021504,Ancash,PALLASCA,HUACASCHUQUE
021505,Ancash,PALLASCA,HUANDOVAL
021506,Ancash,PALLASCA,LACABAMBA
021507,Ancash,PALLASCA,LLAPO
021508,Ancash,PALLASCA,PALLASCA
021509,Ancash,PALLASCA,PAMPAS
021510,Ancash,PALLASCA,SANTA ROSA
021511,Ancash,PALLASCA,TAUCA
021602,Ancash,POMABAMBA,HUAYLLAN
021603,Ancash,POMABAMBA,PAROBAMBA
021601,Ancash,POMABAMBA,POMABAMBA
021604,Ancash,POMABAMBA,QUINUABAMBA
021702,Ancash,RECUAY,CATAC
021703,Ancash,RECUAY,COTAPARACO
021704,Ancash,RECUAY,HUAYLLAPAMPA
021705,Ancash,RECUAY,LLACLLIN
021706,Ancash,RECUAY,MARCA
021707,Ancash,RECUAY,PAMPAS CHICO
021708,Ancash,RECUAY,PARARIN
021701,Ancash,RECUAY,RECUAY
021709,Ancash,RECUAY,TAPACOCHA
021710,Ancash,RECUAY,TICAPAMPA
021802,Ancash,SANTA,CACERES DEL PERU
021801,Ancash,SANTA,CHIMBOTE
021803,Ancash,SANTA,COISHCO
021804,Ancash,SANTA,MACATE
021805,Ancash,SANTA,MORO
021806,Ancash,SANTA,NEPEÑA
021809,Ancash,SANTA,NUEVO CHIMBOTE
021807,Ancash,SANTA,SAMANCO
021808,Ancash,SANTA,SANTA
021902,Ancash,SIHUAS,ACOBAMBA
021903,Ancash,SIHUAS,ALFONSO UGARTE
021904,Ancash,SIHUAS,CASHAPAMPA
021905,Ancash,SIHUAS,CHINGALPO
021906,Ancash,SIHUAS,HUAYLLABAMBA
021907,Ancash,SIHUAS,QUICHES
021908,Ancash,SIHUAS,RAGASH
021909,Ancash,SIHUAS,SAN JUAN
021910,Ancash,SIHUAS,SICSIBAMBA
021901,Ancash,SIHUAS,SIHUAS
022002,Ancash,YUNGAY,CASCAPARA
022003,Ancash,YUNGAY,MANCOS
022004,Ancash,YUNGAY,MATACOTO
022005,Ancash,YUNGAY,QUILLO
022006,Ancash,YUNGAY,RANRAHIRCA
022007,Ancash,YUNGAY,SHUPLUY
022008,Ancash,YUNGAY,YANAMA
022001,Ancash,YUNGAY,YUNGAY
030101,Apurímac,ABANCAY,ABANCAY
030102,Apurímac,ABANCAY,CHACOCHE
030103,Apurímac,ABANCAY,CIRCA
030104,Apurímac,ABANCAY,CURAHUASI
030105,Apurímac,ABANCAY,HUANIPACA
030106,Apurímac,ABANCAY,LAMBRAMA
030107,Apurímac,ABANCAY,PICHIRHUA
030108,Apurímac,ABANCAY,SAN PEDRO DE CACHORA
030109,Apurímac,ABANCAY,TAMBURCO
030201,Apurímac,ANDAHUAYLAS,ANDAHUAYLAS
030202,Apurímac,ANDAHUAYLAS,ANDARAPA
030203,Apurímac,ANDAHUAYLAS,CHIARA
030204,Apurímac,ANDAHUAYLAS,HUANCARAMA
030205,Apurímac,ANDAHUAYLAS,HUANCARAY
030206,Apurímac,ANDAHUAYLAS,HUAYANA
030220,Apurímac,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
030219,Apurímac,ANDAHUAYLAS,KAQUIABAMBA
030207,Apurímac,ANDAHUAYLAS,KISHUARA
030208,Apurímac,ANDAHUAYLAS,PACOBAMBA
030209,Apurímac,ANDAHUAYLAS,PACUCHA
030210,Apurímac,ANDAHUAYLAS,PAMPACHIRI
030211,Apurímac,ANDAHUAYLAS,POMACOCHA
030212,Apurímac,ANDAHUAYLAS,SAN ANTONIO DE CACHI
030213,Apurímac,ANDAHUAYLAS,SAN JERONIMO
030214,Apurímac,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA
030215,Apurímac,ANDAHUAYLAS,SANTA MARIA DE CHICMO
030216,Apurímac,ANDAHUAYLAS,TALAVERA
030217,Apurímac,ANDAHUAYLAS,TUMAY HUARACA
030218,Apurímac,ANDAHUAYLAS,TURPO
030301,Apurímac,ANTABAMBA,ANTABAMBA
030302,Apurímac,ANTABAMBA,EL ORO
030303,Apurímac,ANTABAMBA,HUAQUIRCA
030304,Apurímac,ANTABAMBA,JUAN ESPINOZA MEDRANO
030305,Apurímac,ANTABAMBA,OROPESA
030306,Apurímac,ANTABAMBA,PACHACONAS
030307,Apurímac,ANTABAMBA,SABAINO
030402,Apurímac,AYMARAES,CAPAYA
030403,Apurímac,AYMARAES,CARAYBAMBA
030401,Apurímac,AYMARAES,CHALHUANCA
030404,Apurímac,AYMARAES,CHAPIMARCA
030405,Apurímac,AYMARAES,COLCABAMBA
030406,Apurímac,AYMARAES,COTARUSE
030407,Apurímac,AYMARAES,HUAYLLO
030408,Apurímac,AYMARAES,JUSTO APU SAHUARAURA
030409,Apurímac,AYMARAES,LUCRE
030410,Apurímac,AYMARAES,POCOHUANCA
030411,Apurímac,AYMARAES,SAN JUAN DE CHACÑA
030412,Apurímac,AYMARAES,SAÑAYCA
030413,Apurímac,AYMARAES,SORAYA
030414,Apurímac,AYMARAES,TAPAIRIHUA
030415,Apurímac,AYMARAES,TINTAY
030416,Apurímac,AYMARAES,TORAYA
030417,Apurímac,AYMARAES,YANACA
030612,Apurímac,CHINCHEROS,AHUAYRO
030602,Apurímac,CHINCHEROS,ANCO HUALLO
030601,Apurímac,CHINCHEROS,CHINCHEROS
030603,Apurímac,CHINCHEROS,COCHARCAS
030610,Apurímac,CHINCHEROS,EL PORVENIR
030604,Apurímac,CHINCHEROS,HUACCANA
030611,Apurímac,CHINCHEROS,LOS CHANKAS
030605,Apurímac,CHINCHEROS,OCOBAMBA
030606,Apurímac,CHINCHEROS,ONGOY
030608,Apurímac,CHINCHEROS,RANRACANCHA
030609,Apurímac,CHINCHEROS,ROCCHACC
030607,Apurímac,CHINCHEROS,URANMARCA
030506,Apurímac,COTABAMBAS,CHALLHUAHUACHO
030502,Apurímac,COTABAMBAS,COTABAMBAS
030503,Apurímac,COTABAMBAS,COYLLURQUI
030504,Apurímac,COTABAMBAS,HAQUIRA
030505,Apurímac,COTABAMBAS,MARA
030501,Apurímac,COTABAMBAS,TAMBOBAMBA
030701,Apurímac,GRAU,CHUQUIBAMBILLA
030714,Apurímac,GRAU,CURASCO
030702,Apurímac,GRAU,CURPAHUASI
030703,Apurímac,GRAU,GAMARRA
030704,Apurímac,GRAU,HUAYLLATI
030705,Apurímac,GRAU,MAMARA
030706,Apurímac,GRAU,MICAELA BASTIDAS
030707,Apurímac,GRAU,PATAYPAMPA
030708,Apurímac,GRAU,PROGRESO
030709,Apurímac,GRAU,SAN ANTONIO
030710,Apurímac,GRAU,SANTA ROSA
030711,Apurímac,GRAU,TURPAY
030712,Apurímac,GRAU,VILCABAMBA
030713,Apurímac,GRAU,VIRUNDO
040102,Arequipa,AREQUIPA,ALTO SELVA ALEGRE
040101,Arequipa,AREQUIPA,AREQUIPA
040103,Arequipa,AREQUIPA,CAYMA
040104,Arequipa,AREQUIPA,CERRO COLORADO
040105,Arequipa,AREQUIPA,CHARACATO
040106,Arequipa,AREQUIPA,CHIGUATA
040107,Arequipa,AREQUIPA,JACOBO HUNTER
040129,Arequipa,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO
040108,Arequipa,AREQUIPA,LA JOYA
040109,Arequipa,AREQUIPA,MARIANO MELGAR
040110,Arequipa,AREQUIPA,MIRAFLORES
040111,Arequipa,AREQUIPA,MOLLEBAYA
040112,Arequipa,AREQUIPA,PAUCARPATA
040113,Arequipa,AREQUIPA,POCSI
040114,Arequipa,AREQUIPA,POLOBAYA
040115,Arequipa,AREQUIPA,QUEQUEÑA
040116,Arequipa,AREQUIPA,SABANDIA
040117,Arequipa,AREQUIPA,SACHACA
040118,Arequipa,AREQUIPA,SAN JUAN DE SIGUAS
040119,Arequipa,AREQUIPA,SAN JUAN DE TARUCANI
040120,Arequipa,AREQUIPA,SANTA ISABEL DE SIGUAS
040121,Arequipa,AREQUIPA,SANTA RITA DE SIGUAS
040122,Arequipa,AREQUIPA,SOCABAYA
040123,Arequipa,AREQUIPA,TIABAYA
040124,Arequipa,AREQUIPA,UCHUMAYO
040125,Arequipa,AREQUIPA,VITOR
040126,Arequipa,AREQUIPA,YANAHUARA
040127,Arequipa,AREQUIPA,YARABAMBA
040128,Arequipa,AREQUIPA,YURA
040201,Arequipa,CAMANA,CAMANA
040202,Arequipa,CAMANA,JOSE MARIA QUIMPER
040203,Arequipa,CAMANA,MARIANO NICOLAS VALCARCEL
040204,Arequipa,CAMANA,MARISCAL CACERES
040205,Arequipa,CAMANA,NICOLAS DE PIEROLA
040206,Arequipa,CAMANA,OCOÑA
040207,Arequipa,CAMANA,QUILCA
040208,Arequipa,CAMANA,SAMUEL PASTOR
040302,Arequipa,CARAVELI,ACARI
040303,Arequipa,CARAVELI,ATICO
040304,Arequipa,CARAVELI,ATIQUIPA
040305,Arequipa,CARAVELI,BELLA UNION
040306,Arequipa,CARAVELI,CAHUACHO
040301,Arequipa,CARAVELI,CARAVELI
040307,Arequipa,CARAVELI,CHALA
040308,Arequipa,CARAVELI,CHAPARRA
040309,Arequipa,CARAVELI,HUANUHUANU
040310,Arequipa,CARAVELI,JAQUI
040311,Arequipa,CARAVELI,LOMAS
040312,Arequipa,CARAVELI,QUICACHA
040313,Arequipa,CARAVELI,YAUCA
040402,Arequipa,CASTILLA,ANDAGUA
040401,Arequipa,CASTILLA,APLAO
040403,Arequipa,CASTILLA,AYO
040404,Arequipa,CASTILLA,CHACHAS
040405,Arequipa,CASTILLA,CHILCAYMARCA
040406,Arequipa,CASTILLA,CHOCO
040407,Arequipa,CASTILLA,HUANCARQUI
040408,Arequipa,CASTILLA,MACHAGUAY
040409,Arequipa,CASTILLA,ORCOPAMPA
040410,Arequipa,CASTILLA,PAMPACOLCA
040411,Arequipa,CASTILLA,TIPAN
040413,Arequipa,CASTILLA,URACA
040412,Arequipa,CASTILLA,UÑON
040414,Arequipa,CASTILLA,VIRACO
040502,Arequipa,CAYLLOMA,ACHOMA
040503,Arequipa,CAYLLOMA,CABANACONDE
040504,Arequipa,CAYLLOMA,CALLALLI
040505,Arequipa,CAYLLOMA,CAYLLOMA
040501,Arequipa,CAYLLOMA,CHIVAY
040506,Arequipa,CAYLLOMA,COPORAQUE
040507,Arequipa,CAYLLOMA,HUAMBO
040508,Arequipa,CAYLLOMA,HUANCA
040509,Arequipa,CAYLLOMA,ICHUPAMPA
040510,Arequipa,CAYLLOMA,LARI
040511,Arequipa,CAYLLOMA,LLUTA
040512,Arequipa,CAYLLOMA,MACA
040513,Arequipa,CAYLLOMA,MADRIGAL
040520,Arequipa,CAYLLOMA,MAJES
040514,Arequipa,CAYLLOMA,SAN ANTONIO DE CHUCA
040515,Arequipa,CAYLLOMA,SIBAYO
040516,Arequipa,CAYLLOMA,TAPAY
040517,Arequipa,CAYLLOMA,TISCO
040518,Arequipa,CAYLLOMA,TUTI
040519,Arequipa,CAYLLOMA,YANQUE
040602,Arequipa,CONDESUYOS,ANDARAY
040603,Arequipa,CONDESUYOS,CAYARANI
040604,Arequipa,CONDESUYOS,CHICHAS
040601,Arequipa,CONDESUYOS,CHUQUIBAMBA
040605,Arequipa,CONDESUYOS,IRAY
040606,Arequipa,CONDESUYOS,RIO GRANDE
040607,Arequipa,CONDESUYOS,SALAMANCA
040608,Arequipa,CONDESUYOS,YANAQUIHUA
040702,Arequipa,ISLAY,COCACHACRA
040703,Arequipa,ISLAY,DEAN VALDIVIA
040704,Arequipa,ISLAY,ISLAY
040705,Arequipa,ISLAY,MEJIA
040701,Arequipa,ISLAY,MOLLENDO
040706,Arequipa,ISLAY,PUNTA DE BOMBON
040802,Arequipa,LA UNION,ALCA
040803,Arequipa,LA UNION,CHARCANA
040801,Arequipa,LA UNION,COTAHUASI
040804,Arequipa,LA UNION,HUAYNACOTAS
040805,Arequipa,LA UNION,PAMPAMARCA
040806,Arequipa,LA UNION,PUYCA
040807,Arequipa,LA UNION,QUECHUALLA
040808,Arequipa,LA UNION,SAYLA
040809,Arequipa,LA UNION,TAURIA
040810,Arequipa,LA UNION,TOMEPAMPA
040811,Arequipa,LA UNION,TORO
050201,Ayacucho,CANGALLO,CANGALLO
050202,Ayacucho,CANGALLO,CHUSCHI
050203,Ayacucho,CANGALLO,LOS MOROCHUCOS
050204,Ayacucho,CANGALLO,MARIA PARADO DE BELLIDO
050205,Ayacucho,CANGALLO,PARAS
050206,Ayacucho,CANGALLO,TOTOS
050102,Ayacucho,HUAMANGA,ACOCRO
050103,Ayacucho,HUAMANGA,ACOS VINCHOS
050116,Ayacucho,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY
050101,Ayacucho,HUAMANGA,AYACUCHO
050104,Ayacucho,HUAMANGA,CARMEN ALTO
050105,Ayacucho,HUAMANGA,CHIARA
050115,Ayacucho,HUAMANGA,JESUS NAZARENO
050106,Ayacucho,HUAMANGA,OCROS
050107,Ayacucho,HUAMANGA,PACAYCASA
050108,Ayacucho,HUAMANGA,QUINUA
050109,Ayacucho,HUAMANGA,SAN JOSE DE TICLLAS
050110,Ayacucho,HUAMANGA,SAN JUAN BAUTISTA
050111,Ayacucho,HUAMANGA,SANTIAGO DE PISCHA
050112,Ayacucho,HUAMANGA,SOCOS
050113,Ayacucho,HUAMANGA,TAMBILLO
050114,Ayacucho,HUAMANGA,VINCHOS
050302,Ayacucho,HUANCA SANCOS,CARAPO
050303,Ayacucho,HUANCA SANCOS,SACSAMARCA
050301,Ayacucho,HUANCA SANCOS,SANCOS
050304,Ayacucho,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA
050402,Ayacucho,HUANTA,AYAHUANCO
050409,Ayacucho,HUANTA,CANAYRE
050412,Ayacucho,HUANTA,CHACA
050403,Ayacucho,HUANTA,HUAMANGUILLA
050401,Ayacucho,HUANTA,HUANTA
050404,Ayacucho,HUANTA,IGUAIN
050408,Ayacucho,HUANTA,LLOCHEGUA
050405,Ayacucho,HUANTA,LURICOCHA
050411,Ayacucho,HUANTA,PUCACOLPA
050413,Ayacucho,HUANTA,PUTIS
050406,Ayacucho,HUANTA,SANTILLANA
050407,Ayacucho,HUANTA,SIVIA
050410,Ayacucho,HUANTA,UCHURACCAY
050510,Ayacucho,LA MAR,ANCHIHUAY
050502,Ayacucho,LA MAR,ANCO
050503,Ayacucho,LA MAR,AYNA
050504,Ayacucho,LA MAR,CHILCAS
050505,Ayacucho,LA MAR,CHUNGUI
050506,Ayacucho,LA MAR,LUIS CARRANZA
050514,Ayacucho,LA MAR,NINABAMBA
050511,Ayacucho,LA MAR,ORONCCOY
050515,Ayacucho,LA MAR,PATIBAMBA
050513,Ayacucho,LA MAR,RIO MAGDALENA
050509,Ayacucho,LA MAR,SAMUGARI
050501,Ayacucho,LA MAR,SAN MIGUEL
050507,Ayacucho,LA MAR,SANTA ROSA
050508,Ayacucho,LA MAR,TAMBO
050512,Ayacucho,LA MAR,UNION PROGRESO
050602,Ayacucho,LUCANAS,AUCARA
050603,Ayacucho,LUCANAS,CABANA
050604,Ayacucho,LUCANAS,CARMEN SALCEDO
050605,Ayacucho,LUCANAS,CHAVIÑA
050606,Ayacucho,LUCANAS,CHIPAO
050607,Ayacucho,LUCANAS,HUAC-HUAS
050608,Ayacucho,LUCANAS,LARAMATE
050609,Ayacucho,LUCANAS,LEONCIO PRADO
050610,Ayacucho,LUCANAS,LLAUTA
050611,Ayacucho,LUCANAS,LUCANAS
050612,Ayacucho,LUCANAS,OCAÑA
050613,Ayacucho,LUCANAS,OTOCA
050601,Ayacucho,LUCANAS,PUQUIO
050614,Ayacucho,LUCANAS,SAISA
050615,Ayacucho,LUCANAS,SAN CRISTOBAL
050616,Ayacucho,LUCANAS,SAN JUAN
050617,Ayacucho,LUCANAS,SAN PEDRO
050618,Ayacucho,LUCANAS,SAN PEDRO DE PALCO
050619,Ayacucho,LUCANAS,SANCOS
050620,Ayacucho,LUCANAS,SANTA ANA DE HUAYCAHUACHO
050621,Ayacucho,LUCANAS,SANTA LUCIA
050702,Ayacucho,PARINACOCHAS,CHUMPI
050701,Ayacucho,PARINACOCHAS,CORACORA
050703,Ayacucho,PARINACOCHAS,CORONEL CASTAÑEDA
050704,Ayacucho,PARINACOCHAS,PACAPAUSA
050705,Ayacucho,PARINACOCHAS,PULLO
050706,Ayacucho,PARINACOCHAS,PUYUSCA
050707,Ayacucho,PARINACOCHAS,SAN FRANCISCO DE RIVACAYCO
050708,Ayacucho,PARINACOCHAS,UPAHUACHO
050802,Ayacucho,PAUCAR DEL SARA SARA,COLTA
050803,Ayacucho,PAUCAR DEL SARA SARA,CORCULLA
050804,Ayacucho,PAUCAR DEL SARA SARA,LAMPA
050805,Ayacucho,PAUCAR DEL SARA SARA,MARCABAMBA
050806,Ayacucho,PAUCAR DEL SARA SARA,OYOLO
050807,Ayacucho,PAUCAR DEL SARA SARA,PARARCA
050801,Ayacucho,PAUCAR DEL SARA SARA,PAUSA
050808,Ayacucho,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA
050809,Ayacucho,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA
050810,Ayacucho,PAUCAR DEL SARA SARA,SARA SARA
050902,Ayacucho,SUCRE,BELEN
050903,Ayacucho,SUCRE,CHALCOS
050904,Ayacucho,SUCRE,CHILCAYOC
050905,Ayacucho,SUCRE,HUACAÑA
050906,Ayacucho,SUCRE,MORCOLLA
050907,Ayacucho,SUCRE,PAICO
050901,Ayacucho,SUCRE,QUEROBAMBA
050908,Ayacucho,SUCRE,SAN PEDRO DE LARCAY
050909,Ayacucho,SUCRE,SAN SALVADOR DE QUIJE
050910,Ayacucho,SUCRE,SANTIAGO DE PAUCARAY
